Sport,Dport,Dur,SrcBytes,DstBytes,sTtl,dTtl,SrcLoss,DstLoss,SrcLoad,DstLoad,SrcPkts,DstPkts,SrcWin,DstWin,SrcTCPBase,DstTCPBase,sMeanPktSz,dMeanPktSz,SrcJitter,DstJitter,StartTime,LastTime,SIntPkt,DIntPkt,TcpRtt,SynAck,AckDat,Trans,Min,Max,Sum,is_sm_ips_ports,ct_state_ttl,ct_flw_http_mthd,is_ftp_login,ct_ftp_login,ct_srv_src,ct_srv_dst,ct_dst_ltm,ct_src_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_telnet_login,label,SrcAddr_192.170.11.129,SrcAddr_192.170.11.171,SrcAddr_192.170.11.197,SrcAddr_192.170.11.27,SrcAddr_192.170.11.53,SrcAddr_fe80::b0c5:54ff:fe44:fa4,DstAddr_192.170.11.1,DstAddr_192.170.11.129,DstAddr_192.170.11.171,DstAddr_192.170.11.197,DstAddr_192.170.11.27,DstAddr_192.170.11.53,DstAddr_224.0.0.251,DstAddr_239.255.255.250,DstAddr_255.255.255.255,DstAddr_52.1.151.223,DstAddr_54.193.40.55,DstAddr_54.194.162.25,DstAddr_54.194.162.61,DstAddr_54.254.189.170,DstAddr_54.254.189.209,DstAddr_54.254.191.105,DstAddr_ff02::1,DstAddr_ff02::16,DstAddr_ff02::1:2,DstAddr_ff02::c,DstAddr_ff02::fb,Proto_ipv6-icmp,Proto_tcp,Proto_udp,State_0,State_1,State_2,State_3,State_4
53237.0,3614.0,0.0,1,0,64.0,0.0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,466.0,0.0,0,0,1608652803.559267,1608652803.559267,0,0,0,0,0,1.0,0.0,0.0,0.0,2,1,0,0,0,1,1,1,1,1,1,1,0,normal,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
59788.0,3208.0,0.0,1,0,64.0,0.0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,466.0,0.0,0,0,1608652814.267526,1608652814.267526,0,0,0,0,0,1.0,0.0,0.0,0.0,2,2,0,0,0,2,1,1,2,1,1,1,0,normal,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
33986.0,3614.0,0.0,1,0,64.0,0.0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,466.0,0.0,0,0,1608652845.151358,1608652845.151358,0,0,0,0,0,1.0,0.0,0.0,0.0,2,3,0,0,0,3,2,2,3,2,1,2,0,normal,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
60878.0,443.0,1.857183,3,0,64.0,127.0,0,0,0,0,6,6,24624.0,64240.0,2838469833.0,2688127218.0,144.333328,100.5,0,0,1608652846.160503,1608652848.017686,2,0,0,0,0,1.0,1.857183,1.857183,1.857183,2,1,0,0,0,91,1,1,91,1,1,1,0,normal,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
546.0,547.0,2.8e-05,0,0,1.0,0.0,0,0,1,0,2,0,0.0,0.0,0.0,0.0,114.0,0.0,0,0,1608652856.010293,1608652856.010321,0,0,0,0,0,1.0,2.8e-05,2.8e-05,2.8e-05,2,1,0,0,0,1,1,1,1,1,1,1,0,normal,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
50849.0,53205.0,0.0,1,0,64.0,0.0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,466.0,0.0,0,0,1608652925.078144,1608652925.078144,1,0,0,0,0,1.0,0.0,0.0,0.0,2,4,0,0,0,5,1,1,5,1,1,1,0,normal,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
37945.0,1900.0,3.8e-05,1,0,1.0,0.0,0,0,1,0,2,0,0.0,0.0,0.0,0.0,179.0,0.0,0,0,1608652934.542621,1608652934.542659,0,0,0,0,0,1.0,3.8e-05,3.8e-05,3.8e-05,2,2,0,0,0,7,1,1,7,1,1,1,0,normal,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
57241.0,39521.0,0.0,1,0,64.0,0.0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,466.0,0.0,1,0,1608652945.177359,1608652945.177359,2,0,0,0,0,1.0,0.0,0.0,0.0,2,5,0,0,0,7,2,2,7,1,1,2,0,normal,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
3437.0,37945.0,0.0,0,0,64.0,0.0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,263.0,0.0,1,0,1608652949.561533,1608652949.561533,2,0,0,0,0,1.0,0.0,0.0,0.0,2,6,0,0,0,1,8,8,1,1,1,1,0,normal,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
44064.0,37945.0,0.0,2,0,64.0,0.0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,467.0,0.0,1,0,1608652949.566396,1608652949.566396,2,0,0,0,0,1.0,0.0,0.0,0.0,2,7,0,0,0,3,9,9,3,1,1,1,0,normal,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
